full_book_title,stated_publication_places,number_of_volumes,parisian_keyword
Memorial de l'Europe: Pour l'année bissextile MDCCLXXX,Francfort sur le Mein; Hombourg-ez-monts,1,Histoire
"Pièces intéressantes et peu connues, pour servir a l'histoire",Bruxelles,1,Histoire
"Nouvelles (les) découvertes des Russes entre l'Asie et l'Amérique, avec l'histoire de la conquête de la Sibérie et du commerce des Russes et des Chinois, ouvrage traduit de l'anglois de M. Coxe ",Paris,2,Histoire
"Essai sur la manière de traiter les péripneumonies bilieuses, les rhumes pituiteux et autres affections catarrales; suivi de quelques observations sur ces maladies et sur les éruptions dartreuses, par M. Romain",Verdun,1,Science et Arts
"Recherches sur la cause des affections hypocondriaques, appelées communément vapeurs, ou Lettres d'un médecin sur ces affections. On y a joint un journal de l'état du corps, en raison de la perfection de la transpiration et de la température de l'air. Par M. Claude Revillon",Paris,1,Science et Arts
"Essai sur l'art d'imiter les eaux minérales, ou de la connaissance des eaux minérales",Paris,1,Science et Arts
"Consolations (les) des misères de ma vie, ou Recueil d'airs, romances et duos, par J.-J. Rousseau",n.pl.,1,Science et Arts
[Mélanges de philosophie],n.pl.,1,Science et Arts
Méprise (la) d'Arras,Lausanne,1,Jurisprudence
[Observations sur l'agriculture],n.pl.,1,Science et Arts
Discours au roi,n.pl.,1,Science et Arts
"Maçon (le) démasqué, ou le vrai secret des Francmaçons",n.pl.,1,Histoire
"Observations modestes d'un citoyen sur les opérations de finances de M. Necker, et sur son compte rendu: adressées à MM. les pacifiques auteurs des Comment, des Pourquoi, et autres pamphlets anonymes",n.pl.,1,Science et Arts
Requête au roi sur la retraite de Mr. Necker,n.pl.,1,Science et Arts
[Mémoires sur les ? provinciale],n.pl.,1,Undetermined
Mémoires de Fanny Spingler: histoire angloise,Paris,1,Belles-Lettres
Lettre du marquis de Caraccioli à M. d'Alembert,n.pl.,1,Science et Arts
"Encyclopédie élémentaire, ou Rudiment des sciences et des arts",Autun,3,Science et Arts
[Oeuvres de Tissot],n.pl.,1,Science et Arts
[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes (unknown volumes)],n.pl.,1,Histoire
[Théâtre de société],n.pl.,1,Belles-Lettres
Prise (la) de Sainte Lucie: drame en un acte,Lausanne,1,Belles-Lettres
[Collection d'Aberly],n.pl.,1,Undetermined
Agiatis,Yverdon,1,Belles-Lettres
Histoire philosophique et politique des établissemens et du commerce des Européens dans les deux Indes,Geneva,10,Histoire
Traité des mines à l'usage des jeunes militaires et de ceux qui voudront acquérir une idée nette de toutes les parties de cette science,Berne,1,Science et Arts
"Traité des différentes espèces de tapisseries, et principalement de la tapisserie au petit point et au point long",Yverdon,1,Science et Arts
Collection complette de tous les ouvrages pour et contre M. Necker,n.pl.,1,Science et Arts
[Carte de la Suisse],n.pl.,1,Histoire
[Introduction à Gustave Adolphe],n.pl.,1,Histoire
Handmaid (The) to the Arts,n.pl.,1,Science et Arts
Essays concerning iron and steel,London,1,Science et Arts
[Traité sur le inst de Math],n.pl.,1,Science et Arts
Description d'une machine propre à diviser les lignes droites sur les instruments de mathématiques,n.pl.,1,Science et Arts
[Nouvelle méthode d'extraire l'air corrompu hors des vaisseaux],n.pl.,1,Science et Arts
A Treatise on Ship-Building and Navigation,n.pl.,1,Science et Arts
"Esprit (l') de la Ligue: ou Histoire politique des troubles de France, pendant les XVIe & XVIIe siecles",n.pl.,1,Histoire
"Observations très-importantes pour les pères et mères, et pour les personnes qui ont des familles à soigner",Lausanne,1,Science et Arts
[Lettres d'un ami],n.pl.,1,Undetermined
Oeuvres de Linguet,n.pl.,1,Science et Arts
Traité des maladies vénériennes,n.pl.,1,Science et Arts
"Supplément à l'espion anglois, ou Lettres intéressantes sur la retraite de M. Necker, sur le sort de la France et de l'Angleterre, et sur la détention de M. Linguet à la Bastille, adressées à Mylord All' Eye, par l'auteur de l'Espion anglois",n.pl.,1,Histoire
Tableau de Paris,n.pl.,2,Belles-Lettres
Tombeaux (les): poëme en quatorze chants imité d'Hervey,Lausanne,1,Belles-Lettres
"Correspondance ou défense fondamentale de spectable Théodore Rilliet contre l'ordonnance du conseil de Genève qui, sous le nom de sentence, le dégrade de son état de citoyen, etc., etc., etc., pour avoir témérairement et calomnieusement imputé à dame Ursule de Planta, sa femme, de lui avoir avoué qu'elle avait eu un enfant avant son mariage, et qu'elle l'avait eu de son frère; rendue sur une plainte en diffamation de ce même frère, le baron de Planta",n.pl.,1,Jurisprudence
Morale des anciens philosophes,n.pl.,1,Science et Arts
Oeuvres complettes de M. l'abbé de Voisenon,Paris,5,Belles-Lettres
[Brochure de Fribourg],n.pl.,1,Undetermined
"Contemporaines (les), ou Avantures des plus jolies femmes de l'âge présent ",Leipzig,16,Belles-Lettres
Recherches philosophiques et historiques sur le célibat,Geneva,1,Science et Arts
[Livre de poste],n.pl.,1,Undetermined
Théatre à l'usage des jeunes personnes,n.pl.,1,Belles-Lettres
[Toile cirée],n.pl.,1,Undetermined
[Atlas],n.pl.,1,Histoire
"Géorgiques (les) de Virgile, en vers françois. Par M. l'abbé de Lille",Paris,1,Belles-Lettres
"Nouveau système typographique, ou Moyen de diminuer de moitié, dans toutes les imprimeries de l'Europe, le travail et les frais de composition, de correction et de distribution, découvert en 1774 par Mme de***",Paris,1,Science et Arts
[Magasin nouveau des jeunes demoiselles],n.pl.,1,Science et Arts
Théatre à l'usage des jeunes personnes,n.pl.,4,Belles-Lettres
"Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar",n.pl.,1,Histoire
Pièces importantes à la dernière revolution de Genève,Geneva,1,Histoire
"Poésies diverses d'Alexis Piron, ou Recueil de différentes pièces de cet auteur, pour servir de suite à toutes les éditions desquelles on a supprimé les ouvrages libres de ce poète",London,1,Belles-Lettres
Liaisons (les) dangereuses,n.pl.,1,Belles-Lettres
Dictionnaire raisonné universel d'histoire naturelle,Lausanne,9,Science et Arts
"Nouvelles, par M. de Charnois",Paris,1,Belles-Lettres
"Lecture du matin, ou Nouvelles historiettes en prose, par Imbert",Paris,1,Belles-Lettres
"Flatteur (le), comédie en 5 actes et en vers libres",Paris,1,Belles-Lettres
"Art de la voilure, par M. Romme",n.pl.,1,Science et Arts
"Pilote (le) céleste, poème (en l'honneur de Blanchard, par Arnaud de Saint-Maurice)",n.pl.,1,Belles-Lettres
"Vérité (la) rendue sensible à Louis XVI, par un admirateur de M. Necker",London,1,Théologie
"Mémoires sur l'ancienne chevalerie considérée comme un établissement politique et militaire, par M. de La Curne de Sainte-Palaye... Nouvelle édition",Paris,3,Histoire
"Honnête (l') homme, dédié à Mme la Comtesse d'H***, par M. l'abbé Maydieu",Paris,1,Belles-Lettres
"Charlatan (le), ou le Docteur Sacroton, comédie-parade en un acte, en prose",La Haye; Paris,1,Belles-Lettres
[Duel (le)],n.pl.,1,Undetermined
[Cayy ricili opera],n.pl.,1,Undetermined
[Carte de Traites],n.pl.,1,Histoire
[Cartes des Gabelles],n.pl.,1,Histoire
"Zarine, reine des Scythes, tragedie",Paris,1,Belles-Lettres
A-propos (l') du moment,n.pl.,1,Science et Arts
"Oeuvres choisies du prince Castriotto d'Albanie contenant le portrait caractéristique du prince héréditaire de Prusse, revu et augmenté par l'auteur, une lettre au Congrès de l'Amérique et plusieurs autres pièces... avec le portrait de l'auteur. Auxquelles on a joint le fragment d'un nouveau chapitre du Diable boiteux, envoyé de l'autre monde par M. Le Sage; où se trouve un dialogue entre le comte de Ruppen, le comte du Nord, le comte de Slonim et Warta",n.pl.,1,Belles-Lettres
"Désoeuvré (le) mis en oeuvre, ou le Revers de la médaille, pour servir d'opposition à l'Espion du boulevard du Temple",Paris,1,Histoire
Correspondance du Grand Turc (Habdul-Hamid) avec N.S.P. le Pape (Pie VI),Rome,1,Histoire
"Dernier voyage du capitaine Cook autour du monde: où se trouvent les circonstances de sa mort, publié en allemand par Henri Zimmermann, témoin oculaire: & traduit avec un abrégé de la vie de ce navigateur célèbre & des notes",Berne,1,Histoire
[Réponse à M.Mallet sur Genève],n.pl.,1,Histoire
"Théâtre de campagne, par l'auteur des Proverbes dramatiques",n.pl.,4,Belles-Lettres
Dictionnaire de synonymes français,n.pl.,1,Belles-Lettres
Edit de pacification de 1782,n.pl.,1,Histoire
"Intolérance (l') ecclésiastique, ou Les malheurs d'un hétérodoxe/La vie et les opinions de maître Sébaltus Nothanker (edition and volume information unknown)",n.pl.,1,Belles-Lettres
Métamorphoses (les),n.pl.,1,Belles-Lettres
"Voyages métallurgiques, ou Recherches et observations sur les mines et forges de fer, la fabrication de l'acier... faites depuis l'année 1757 et compris 1769, en Allemagne, Suède, Norwège, Angleterre et Écosse",n.pl.,3,Science et Arts
"Lettres sur la nourriture des bestiaux à l'étable, par M. Tschiffeli",Berne,1,Science et Arts
[Lexicon en Allemand],n.pl.,1,Belles-Lettres
Moeurs (les) de la grâce et de la foi,Philadelphia,1,Théologie
"Voyage (le) forcé, ou Manière de tirer avantage des circonstances, tiré des Mémoires d'un homme de lettres qui a fait un long séjour en Angleterre... par C.-H. Nirel",London,1,Belles-Lettres
In Cornelium Nepotem observationes criticae et historicae,Havniae,1,Histoire
Souscription proposée en faveur de la liberté Amériquaine,n.pl.,1,Histoire
Manuel d'Epictète; précédé de réflexions sur ce philosophie & sur la morale des stoïciens,Geneva,1,Science et Arts
Planta gagnant sa vie en honnête homme,n.pl.,1,Jurisprudence
"Requête au Grand Conseil de la République de Genève en recours de la sentence criminelle rendue le 24 août 1780: contre spectable Théodore Rilliet dans le procès que lui avoit intenté Monsieur le baron Frédéric de Planta pour l'avoir, disoit-il, diffamé personnellement en l'accusant publiquement d'inceste avec sa soeur la Dlle Ursule de Planta, épouse de spectable Rilliet, précédée des conclusions et de la sentence dont est recours ",n.pl.,1,Jurisprudence
"Oeuvres d'Étienne Falconet... contenant plusieurs écrits relatifs aux beaux-arts, dont quelques-uns ont déjà paru mais fautifs, d'autres sont nouveaux",Lausanne,6,Science et Arts
"Dictionnaire de chymie, contenant la théorie et la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine et aux arts dépendans de la chymie",Paris,2,Science et Arts
[Soubzers],n.pl.,2,Undetermined
"Articles vignes, raisins, vendanges et vins ... tirés du grand Dictionnaire encyclopédique",Lausanne,1,Science et Arts
"Sermons sur divers sujets intéressants, composés par un pasteur de la campagne, établi dans la Principauté de Neuchatel ",Lausanne,1,Théologie
"Abrégé chronologique de l'histoire du Nord, ou des états de Danemarc, de Russie, de Suède, de Pologne, de Prusse, de Courlande",Paris,2,Histoire
[Bigarures (les) d'un citoyen de Genève],n.pl.,2,Science et Arts
P. Ovidii Nasonis Metamorphoseon libri XV: cum notis gallicis & appendice gallico de diis & heroibus poeticis: ad usum scholarum,Paris,1,Belles-Lettres
Observations sur le mémoire justificatif de la cour de Londres,n.pl.,1,Histoire
[Grammaire latine et grec],n.pl.,1,Belles-Lettres
Mémoires d'un homme de bien,Dijon; Paris,2,Belles-Lettres
Mémoires philosophiques du baron de *** Chambellan de sa majesté l'Impératrice Reine,n.pl.,2,Belles-Lettres
Aveugle (l') par amour,n.pl.,1,Belles-Lettres
[Lettres de Midi à Panckoucke],n.pl.,1,Belles-Lettres
Réflexions sur le projet de réforme pour le Collège de Genève,Lausanne?; Neuchâtel?,1,Science et Arts
"Suzette et Perrin, ou les dangers du libertinage",n.pl.,1,Belles-Lettres
[Mémoires sur la commerce de Lorraine],n.pl.,1,Science et Arts
"Eclipses (les), poème en six chants... par M. l'abbé Boscovich, traduit en françois par M. l'abbé de Barruel",Paris,1,Belles-Lettres
"Lettre au docteur Maty, sécretaire de la Société royale de Londres, sur les géants Patagons",Bruxelles,1,Histoire
Voyage de M. Niebuhr en Arabie et en d'autres pays de l'Orient,n.pl.,1,Histoire
Découvertes sur la lumière,n.pl.,1,Science et Arts
Dictionnaire de chymie,n.pl.,4,Science et Arts
"Histoire naturelle des poissons, ecrevisses et crabes des indes = Natuurlijke historie der indische visschen, kreeften, en krabben",Amsterdam; Paris,1,Science et Arts
"Paul-Jones, ou prophéties sur l'Amérique, l'Angleterre, la France, l'Espagne, la Holland, &c.",n.pl.,1,Histoire
The Fakeer: a tale,London,1,Belles-Lettres
"Léonard et Gertrude, ou les moeurs villageoises telles qu'on les retrouve à la ville et à la cour",Lausanne,1,Belles-Lettres
Angelique: poème trad. de l'italien d'Andrea Marone,Florence,1,Belles-Lettres
Essais historiques et politiques sur les Anglo-américains,Bruxelles; Paris,4,Histoire
"Anecdotes de la cour de Philippe-Auguste - Suite des Anecdotes de la cour de Philippe-Auguste, par Mlle de Lussan",Rouen,2,Histoire
"Danger d'aimer un étranger, ou Histoire de Mylady Chester et d'un duc français",London; Paris,2,Belles-Lettres
Histoire de la vie privée des Français depuis l'origine de la nation jusqu'à nos jours,Paris,3,Science et Arts
"L'Amériquain aux Anglois, ou Observations d'un membre des États Unis de l'Amérique, à divers ministres d'Angleterre",Philadelphia,1,Histoire
Grammaire allemande de M. Gottsched,n.pl.,1,Belles-Lettres
"Nouvelle construction de ruches de bois, avec la façon de gouverner les abeilles et l'histoire naturelle de ces insectes",Metz,1,Science et Arts
Henriade (la) travestie en vers burlesques,n.pl.,1,Belles-Lettres
"Bonnets (les), ou Talemik et Zinéra. Histoire moderne, traduite de l'arabe",London; Paris,1,Belles-Lettres
[Collection des poètes],n.pl.,77,Belles-Lettres
Essai sur la prévention,n.pl.,1,Undetermined
Fabulae selectae Fontanii,n.pl.,1,Belles-Lettres
"Mémoire sur la plantation & la récolte des orties, ainsi que sur l'avantage incontestable qu'on peut tirer pour engraisser le bétail",Neuchâtel,1,Science et Arts
"Dictionnaire royal françois-anglois & anglois-françois, en abrégé, par Boyer",Lyon,2,Belles-Lettres
"Nouvelle grammaire angloise, par Mr. Rogissard",n.pl.,1,Belles-Lettres
"Journal d'un voyage de Genève à Londres, en passant par la Suisse, entremêlé d'avantures tragiques",L.,1,Histoire
Lettres physiques et morales sur les montagnes et sur l'histoire de la terre et de l'homme... par J. A. de Luc,La Haye,5,Histoire
"Petit-neveu (le) de Bocace, ou Contes nouveaux en vers",n.pl.,1,Belles-Lettres
"Augustins (les), contes nouveaux",Rome,1,Belles-Lettres
"Ezour-Védam (l'), ou Ancien commentaire du Védam: contenant l'exposition des opinions religieuses et philosophiques des Indiens  ",Yverdon,2,Histoire
Lettres du marquis de Roselle,n.pl.,1,Belles-Lettres
"Considérations sur la paix de 1783, envoyées par l'abbé Raynal au prince Frédéric Henri de Prusse",Berlin,1,Histoire
[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes (Tableau)],n.pl.,1,Histoire
Thesaurus juris romani,n.pl.,9,Jurisprudence
Traité de l'épilepsie (vols 1-4),n.pl.,1,Science et Arts
[Thèses de Répécaud],n.pl.,1,Undetermined
[Art d'aroser les prels (?)],n.pl.,1,Science et Arts
[Oeuvres de Bonnet],n.pl.,18,Science et Arts
[Lettres des américains],n.pl.,1,Undetermined
"Gouvernement (du) des moeurs, par Mr. Polier de St. Germain, bourguemaitre de la ville de Lausanne",Lausanne,1,Science et Arts
"Oeuvres complettes de M. Le Febvre, art d'attaquer et défendre les places, traité des mines &c",Maestricht,2,Science et Arts
"Essai sur la société et les moeurs des Italiens, ou Lettres d'un voyageur anglois sur l'Italie, traduit de l'anglois de Mr. Moore",Lausanne,1,Histoire
Bon-homme (le) anglois,Amsterdam,1,Histoire
[Essais de littérature],n.pl.,1,Belles-Lettres
Oeuvres de Colardeau,n.pl.,1,Belles-Lettres
Recueil de pièces galantes en prose et en vers,n.pl.,1,Belles-Lettres
"Aventures (les) de Monsieur Robert Chevalier, dit De Beauchêne capitaine de flibustiers de la Nouvelle-France",Maestricht,2,Histoire
[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes (figures)],n.pl.,1,Histoire
Mémoires sur la vie de M. le Cte de Marsigli... par M. L.-D.-C.-H.-D. Quincy,Zurich,4,Belles-Lettres
[Contes des fées],n.pl.,1,Belles-Lettres
[Histoire de Chalons],n.pl.,1,Histoire
Tableau raisonné de l'histoire littéraire,Yverdon,1,Belles-Lettres
"Voyage aux Moluques et à la Nouvelle Guinée fait sur la galère ""La Tartare"" en 1774, 1775 et 1776 par ordre de la compagnie angloise, par le capitaine Forrest",Paris,1,Histoire
Année littéraire,n.pl.,1,Belles-Lettres
Essai d'une nouvelle méthode pour apprendre et pour enseigner facilement et en peu de temps la géographie,Geneva,1,Histoire
Mille (les) et un quart-d'heure,n.pl.,3,Belles-Lettres
[Lettres de Cleveland],n.pl.,1,Undetermined
"Epoux (les) malheureux, ou Histoire de monsieur et madame de La Bedoyere, ecrite par un ami",n.pl.,1,Belles-Lettres
Pensées sur les femmes et le mariage dédiées aux hommes par un vieux militaire,Kehl,1,Science et Arts
Elémens de cavalerie,n.pl.,1,Science et Arts
Élémens du calcul intégral,Parma,2,Science et Arts
"Recherches sur l'art militaire, ou Essai d'application de la fortification à la tactique ",n.pl.,1,Science et Arts
"Poésie et la philosophie d'un turc à 81 queues, à 3 plumes de héron, à 2 aigrettes et à 1 collier d'émeraudes",n.pl.,1,Belles-Lettres
[Réflexions militaires],n.pl.,1,Science et Arts
"Mémoires de M. de Bordeaux, intendant des finances, par M. G. D. C.",n.pl.,1,Belles-Lettres
[Magistrat (le)],n.pl.,1,Undetermined
[Wathek],n.pl.,1,Undetermined
"Faux (les) amis démasqués, comédie en 5 actes et en vers, par Autreau",Paris,1,Belles-Lettres
[Ennemis curieuses/genereuses],n.pl.,1,Belles-Lettres
[Atlas à l'histoire philosophique de Raynal],n.pl.,10,Histoire
"Réforme du clergé, par l'auteur du C. C.",Conclue,1,Histoire
Démonstrations élémentaires de botanique,Lyon,3,Science et Arts
Dernière (la) Guerre des bêtes,n.pl.,1,Belles-Lettres
Portrait de Bonnet,n.pl.,1,Science et Arts
"Mendiant (le) boiteux, ou les Aventures d'Ambroise Gwinett, balayeur du pavé de Spring-Garden, d'après les notes écrites de sa main, par M. L. Castilhon",n.pl.,2,Belles-Lettres
"Observations sur l'état actuel de la République des Provinces-Unies, et sur la liberté de l'Escaut",La Haye,1,Histoire
"Nouveau compte rendu, ou Tableau historique des finances d'Angleterre, depuis le règne de Guillaume III, jusqu'en 1784",Turin,1,Science et Arts
Nouveaux sermons sur divers textes de l'Ecriture sainte: prononcés devant le roi de Prusse,La Haye,1,Théologie
"Elémens de mythologie, avec l'Analyse des poëmes d'Homère et de Virgile, suivie de l'explication allégorique à l'usage des jeunes personnes de l'un et l'autre sexe, par M. de Bassville",Geneva,1,Histoire
Oeuvres de Robinson,n.pl.,1,Histoire
Abrégé de l'histoire universelle,n.pl.,1,Histoire
[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes (Analyse à l'atlas de l'histoire philosphique)],n.pl.,1,Histoire
[Discours sur le progrès],n.pl.,1,Undetermined
"Vie (la) de Pierre Abeillard, abbé de Saint-Gildas de Ruis... et celle d'Héloïse, son épouse ",n.pl.,1,Histoire
"Recueil des chansons choisies, avec la musique",Neuchâtel,6,Belles-Lettres
Caisse (de la) d'escompte,n.pl.,1,Science et Arts
"Traité de l'électricité, dans lequel on expose, et on démontre par expérience, toutes les découvertes électriques faites jusqu'à ce jour, pour servir de suite aux Leçons de physique du même auteur",n.pl.,1,Science et Arts
[Oeuvres de Bonnet],n.pl.,10,Science et Arts
Oeuvres de Plutarque [Grec et Latin],n.pl.,1,Belles-Lettres
[Oeuvres de Molière],n.pl.,1,Belles-Lettres
Descriptions des arts et métiers [unfinished volume 20],n.pl.,1,Science et Arts
[Cooks],n.pl.,1,Histoire
Vie (la) et les opinions de Tristram Shandy ,Geneva; Neuchâtel,4,Belles-Lettres
Mémoires authentiques pour servir à l'histoire du comte de Cagliostro,London,1,Histoire
"Histoire générale de la Chine, ou Annales de cet empire, traduites du Tong-Kien-Kang-Mou",Paris,13,Histoire
"Dictionnaire d'architecture civile, militaire et navale, antique, ancienne et moderne",Paris,3,Science et Arts
"Dictionnaire historique, théorique et pratique de Marine",n.pl.,1,Science et Arts
Oeuvres complètes de M. de Marivaux,Paris,12,Belles-Lettres
"Chef-d'oeuvres de l'antiquité sur les beaux-arts, monuments précieux de la religion des Grecs et des Romains, de leurs sciences, de leurs loix... gravés en taille-douce par Bernard Picart et publiés par M. Poncelin de La Roche-Thilac",Paris,2,Science et Arts
[Atlas de Mentelle],n.pl.,1,Histoire
[Elémens de la géométrie],n.pl.,1,Science et Arts
"Traité d'architecture, comprenant les cinq ordres des anciens établis dans une juste proportion entre eux",Paris,1,Science et Arts
[Tableau de littérature],n.pl.,1,Belles-Lettres
[Atlas d'Allemagne],n.pl.,1,Histoire
Oeuvres de Monsieur le comte Grégoire de Razoumowsky,Lausanne,2,Histoire
"Mémoires de Madame de Warens, suivis de ceux de Claude Anet, publiés par un C.D.M.D.P., pour servir d'apologie aux ""Confessions"" de J.J. Rousseau",n.pl.,1,Belles-Lettres
Voyage d'Espagne fait en l'année 1755,Paris,1,Histoire
"Voyageur (le) sentimental, ou ma promenade à Yverdun, par Vernes le fils",Neuchâtel,1,Belles-Lettres
"Vie (la) et les aventures surprenantes de Robinson Crusoe, contenant son retour dans son Isle, ses autres nouveaux Voyages & ses Réflections",Neuchâtel,4,Belles-Lettres
[Essai sur la littérature de Trembley],n.pl.,1,Belles-Lettres
Histoire naturelle generale et particuliere,n.pl.,22,Science et Arts
"Mémoires de Suzon, Soeur de D. ... B. ... portier des Chartreux",n.pl.,1,Belles-Lettres
Nouveau dictionnaire des Passagers,Colmar,1,Belles-Lettres
"Lettres nouvelles, ou nouvellement recouvrées, de la Marquise de Sévigné; et de la Marquise de Simiane, sa petite-fille, pour servir de suite au Recueil des lettres de la Marquise de Sévigné ",Paris,1,Belles-Lettres
Méthode abrégée et facile pour apprendre la géographie où l'on décrit la forme du gouvernement de chaque pays .,n.pl.,1,Histoire
"Anleitung zur gründlichen und nützlichen Kenntniss der neuesten Erdbeschreibung: nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend",n.pl.,1,Histoire
"Systema naturae sive Regna tria natura systematice proposita per classes ordines, genera et species",n.pl.,4,Science et Arts
Shakespear/Théatre de Shakespear en allemand,n.pl.,1,Belles-Lettres
Oeuvres de La Mettrie,Berlin,2,Science et Arts
"Choix de lectures géographiques et historiques, présentées dans l'ordre qui a paru le plus propre à faciliter l'étude de la géographie de l'Asie, de l'Afrique et de l'Amérique, précédé d'un abrégé de géographie, avec des cartes, par M. Mentelle ",Paris,6,Histoire
[Oeuvres de Molière],n.pl.,8,Belles-Lettres
Clarisse Harlowe,n.pl.,1,Belles-Lettres
Décaméron (le) françois,Paris,5,Belles-Lettres
"Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar",Geneva,10,Histoire
"Cagliostro démasqué à Varsovie, ou Relation authentique de ses opérations alchimiques et magiques faites dans cette capitale en 1780. Par un témoin oculaire",n.pl.,1,Science et Arts
Instruction derniere de Frédéric le Grand à son neveu,Verrières,1,Histoire
Histoire de la décadence et de la chute de l'Empire Romain,Maestricht,4,Histoire
Oeuvres du Cte Antoine Hamilton,London,7,Belles-Lettres
Oeuvres complètes,Paris,1,Belles-Lettres
Manière (de la) d'enseigner et d'étudier les Belles Lettres,n.pl.,4,Science et Arts
"Moyens de préserver les édifices d'incendies et d'empêcher le progrès des flammes, par M. Piroux",Strasbourg,1,Science et Arts
"Oeuvres pastorales de M. Merthghen, traduites de l'allemand par M. le baron de Nausell, suivies des Aulnaies de Voux, idylles françaises par M. Le Boux de la Bapaumerie",Paris,2,Belles-Lettres
"Spectateur (le), ou le Socrate moderne où l'on voit un portrait naïf des moeurs de ce siècle",Amsterdam; Leipzig,8,Science et Arts
"Tableaux de la bonne compagnie, ou Traits caractéristiques, anecdotes secrètes, politiques, morales et littéraires, recueillies dans les sociétés du bon ton, pendant les années 1786 et 1787",n.pl.,2,Belles-Lettres
"Abrégé élémentaire d'astronomie, de physique, d'histoire naturelle, de chymie, d'anatomie, de géométrie et de méchanique. Par M. T. B",Paris,1,Science et Arts
"Lettres sur l'Egypte: où l'on offre le parallèle des moeurs anciennes & modernes de ses habitans, où l'on décrit l'état, le commerce, l'agriculture, le gouvernement du pays & la descente de S. Louis à Damiette, tirée de Joinville & des auteurs arabes ",Paris,3,Histoire
Lutrin (le): poème héroï-comique,n.pl.,1,Belles-Lettres
Oeuvres politiques de M. l'abbé de Mably,Amsterdam; Leipzig,4,Jurisprudence
[Colloque],n.pl.,1,Undetermined
"Laure, ou Lettres de quelques femmes de Suisse",Geneva,7,Belles-Lettres
[Chansons posthumes],n.pl.,1,Undetermined
"Correspondance familière et amicale de Frédéric second, roi de Prusse, avec U. F. de Suhm",Basle; Leipzig,2,Histoire
Abrégé des principes de la grammaire françoise,n.pl.,1,Belles-Lettres
"Nouvel Atlas des enfants, ou principes clairs pour apprendre facilement et en fort peu de temps la géographie",Amsterdam,1,Histoire
Grand Apparat (le) françois et latin,n.pl.,1,Belles-Lettres
"Avis aux bonnes ménagères des villes et des campagnes, sur la meilleure manière de faire leur pain",Paris,1,Science et Arts
"Art (l') d'aimer, nouveau poëme en six chants",London,1,Belles-Lettres
Bijoux (les) indiscrets,n.pl.,2,Belles-Lettres
Caroline de Lichtfield,n.pl.,1,Belles-Lettres
Contes et idylles de Gessner,n.pl.,1,Belles-Lettres
"Extinction des dettes de la France par des moyens utiles à la nation ... sans mettre de nouveaux impôts, Par un citoyen patriote ",Neuchâtel; Paris,1,Science et Arts
Vieux (le) Cevenol: ou anecdotes de la vie d'Ambroise Borély,London,1,Belles-Lettres
"Délassemens de l'homme sensible, ou Anecdotes diverses. Par M. d'Arnaud",Paris,24,Histoire
Dictionnaire raisonné de physique,n.pl.,3,Science et Arts
[Dictionnaire de minéralogie],n.pl.,1,Science et Arts
[Collection complète des oeuvres de Madame Riccoboni],Paris,8,Belles-Lettres
"Momus (le) français, ou Les aventures divertissantes du duc de Roquelaure",n.pl.,1,Histoire
[Roman de Pearron],n.pl.,1,Belles-Lettres
"Soldat (la) parvenu, ou Mémoires et Avantures de M. de Verval, dit Bellerose, par M. de M*** ",n.pl.,1,Belles-Lettres
[Christiani Gottlieb Ludwig Institutiones],n.pl.,4,Undetermined
Oeuvres complet de Linné,n.pl.,1,Science et Arts
"Souterrain (le), ou Mathilde, par Miss Sophie Lee, traduit de l'anglais sur la 2e édition",n.pl.,3,Belles-Lettres
Recueil des chansons choisies,n.pl.,8,Belles-Lettres
"Histoire de Charles Price, fameux escroc de Londres... traduite de l'anglois sur la sixième édition",London,1,Belles-Lettres
Contes de J. Bocace. Traduction nouvelle,London,10,Belles-Lettres
"Contes et nouvelles de Marguerite de Valois, reine de Navarre, faisant suite aux Contes de J. Bocace",n.pl.,8,Belles-Lettres
"Manière (la) d'enseigner et d'apprendre l'orthographe, par M. Gazin",Geneva,1,Belles-Lettres
"Bibliothèque des enfans, ou connoissances élémentaires et indispensables pour les enfans des villes et des campagnes; ouvrage utile à toutes sortes des personnes",Geneva,1,Belles-Lettres
"Recueil de pièces dialoguées, ou guenilles dramatiques ramassées dans une petite ville de Suisse",Geneva; Paris,1,Belles-Lettres
Dictionnaire minéralogique et hydrologique de la France,Paris,4,Science et Arts
"Laure, ou lettres de quelques personnes de Suisse  ",London,5,Belles-Lettres
Lettres sur la procédure criminelle de la France: dans lesquelles on montre sa conformité avec celle de l'Inquisition et les abus qui en résultent ,En France,1,Jurisprudence
"Code du bonheur, par M. R. L. d'Erlach, de conseil souverain de Berne",Lausanne,7,Science et Arts
"Négresse (la) couronnée, ou Les moeurs des peuples mises en action ",Paris,2,Belles-Lettres
"Considérations sur les oeuvres de Dieu, dans le regne de la nature et de la providence, pour tous les jours de l'année",Geneva; Paris,3,Théologie
